ID_Punto,Nome_Punto,Longitudine,Latitudine,is_tbd
brewers-bay-virgin-islands-u-s-,"Brewer's Bay, Virgin Islands (U.S.)",-64.97531918865539,18.342402587783717,False
frederiksted-virgin-islands-u-s-,"Frederiksted, Virgin Islands (U.S.)",-64.88152042697823,17.71242997088509,False
christiansted-virgin-islands-virgin-islands-u-s-,"Christiansted, Virgin Islands, Virgin Islands (U.S.)",-64.70315141271153,17.746660579229843,False
carrickfergus-united-kingdom,"Carrickfergus, United Kingdom",-5.808173603216411,54.71367039332284,False
saltcoats-united-kingdom,"Saltcoats, United Kingdom",-4.783516125969337,55.63758019678909,False
douglas-isle-of-man,"Douglas, Isle of Man",-4.480879621608963,54.15027516173659,False
silecroft-beach-united-kingdom,"Silecroft Beach, United Kingdom",-3.35714994891956,54.21062739961812,False
groudle-bay-isle-of-man,"Groudle Bay, Isle of Man",-4.423897240100775,54.16697942720116,False
peel-isle-of-man,"Peel, Isle of Man",-4.691426347455632,54.22244748636314,False
ballywater-united-kingdom,"Ballywater, United Kingdom",-5.484394535704497,54.542741580201856,False
port-grenaugh-isle-of-man,"Port Grenaugh, Isle of Man",-4.566670576458828,54.09999306170466,False
hulhumale-maldives,"Hulhumale, Maldives",73.54015885755544,4.211942635751779,False
kulhudhufushi-maldives,"Kulhudhufushi, Maldives",73.07140918962199,6.622441345756148,False
eydhafushi-maldives,"Eydhafushi, Maldives",73.07082325253708,5.10323036500878,False
dhangethi-maldives,"Dhangethi, Maldives",72.95558895917019,3.608093477293043,False
gan-maldives,"Gan, Maldives",73.54465104187312,1.918411782935871,False
gahdhoo-maldives,"Gahdhoo, Maldives",73.45549094878496,0.288802003782011,False
diego-garcia-british-indian-ocean-territory,"Diego Garcia, British Indian Ocean Territory",72.416672,-7.333330000000503,False
hithadhoo-maldives,"Hithadhoo, Maldives",73.08918261453131,-0.606021265123826,False
balboa-panama,"Balboa, Panama",-79.56667848090554,8.950027090049982,False
quellon-chile,"Quellon, Chile",-73.47946355486467,-43.117473610870405,False
sangata-indonesia,"Sangata, Indonesia",117.55096752363566,0.326887363868111,False
pankalan-indonesia,"Pankalan, Indonesia",111.75292475602346,-2.849667399839222,False
ketapang-indonesia,"Ketapang, Indonesia",109.97187133023849,-1.859123326919139,False
banjarmasin-indonesia,"Banjarmasin, Indonesia",114.60399695504718,-3.327961488455888,False
pontianak-indonesia,"Pontianak, Indonesia",109.33564131219983,-0.02740748572126,False
klagshamn-sweden,"Klagshamn, Sweden",12.916666647556017,55.53329310071712,False
brondby-denmark,"Brondby, Denmark",12.41490919050584,55.64724561414846,False
nybor-denmark,"Nybor, Denmark",10.799480647390464,55.324102015186114,False
korsor-denmark,"Korsor, Denmark",11.149382743266532,55.32575488731598,False
rostock-germany,"Rostock, Germany",12.13238985939624,54.078893478280825,False
markgrafenheide-germany,"Markgrafenheide, Germany",12.149479691038506,54.19140540038316,False
osterby-denmark,"Osterby, Denmark",11.199285051665399,57.31345558303452,False
kristinelund-sweden,"Kristinelund, Sweden",12.588639536183623,56.134734209506526,False
tinian-northern-mariana-islands,"Tinian, Northern Mariana Islands",145.63747106439294,15.011127130087093,False
saipan-northern-mariana-islands,"Saipan, Northern Mariana Islands",145.7509475465053,15.1777319139343,False
rota-northern-mariana-islands,"Rota, Northern Mariana Islands",145.21247136546685,14.151844706294286,False
vila-olga-virgin-islands-u-s-,"Vila Olga, Virgin Islands (U.S.)",-64.94802428611733,18.335728451477152,False
banana-bay-virgin-islands-u-s-,"Banana Bay, Virgin Islands (U.S.)",-64.94377624225066,18.328219740149585,False
flamingo-bay-virgin-islands-u-s-,"Flamingo Bay, Virgin Islands (U.S.)",-64.95778990419826,18.312830498451948,False
tortola-virgin-islands-u-k-,"Tortola, Virgin Islands (U.K.)",-64.5972432846129,18.414781849275833,False
great-bay-virgin-islands-u-s-,"Great Bay, Virgin Islands (U.S.)",-64.84319037600663,18.322472111215845,False
manta-ecuador,"Manta, Ecuador",-80.71618938533148,-0.950019548909037,False
hudishibana-aruba,"Hudishibana, Aruba",-70.04997379684741,12.616634445885316,False
tyra-denmark,"Tyra, Denmark",4.748508371456093,55.71560692113311,False
valdemar-denmark,"Valdemar, Denmark",4.564328814430503,55.80407237566748,False
south-arne-denmark,"South Arne, Denmark",4.228391552411684,56.07828845791397,False
ajaccio-france,"Ajaccio, France",8.738642263557752,41.91932911005837,False
la-seyne-france,"La Seyne, France",5.878097414994473,43.1029080448373,False
lle-rousse-france,"L’Île-Rousse, France",8.937079622982862,42.6365095071255,False
cannes-france,"Cannes, France",7.01735442043418,43.552927166028965,False
alsgarde-denmark,"Alsgarde, Denmark",12.536881760350429,56.074882184341305,False
kristiansand-norway,"Kristiansand, Norway",7.996259976968266,58.15095596477219,False
monte-carlo-monaco,"Monte Carlo, Monaco",7.42721741133341,43.73973086446908,False
otranto-italy,"Otranto, Italy",18.48570567114653,40.14805341338409,False
umag-croatia,"Umag, Croatia",13.520181845020224,45.43310919075176,False
mestre-italy,"Mestre, Italy",12.244108530252593,45.49587287439114,False
vaasa-finland,"Vaasa, Finland",21.6163675158564,63.09519496029314,False
ume-sweden,"Umeå, Sweden",20.262950505879612,63.82586986108827,False
nynashamn-sweden,"Nynashamn, Sweden",17.94654589684356,58.902924681852696,False
meremisa-estonia,"Meremöisa, Estonia",24.276619537558968,59.40084650364711,False
dubrovnik-croatia,"Dubrovnik, Croatia",18.106409064843877,42.64186152795143,False
aethos-greece,"Aethos, Greece",20.01544924229398,39.683615198996556,False
corfu-greece,"Corfu, Greece",19.9194937179377,39.61929827180403,False
fuvahmulah-maldives,"Fuvahmulah, Maldives",73.42687768780485,-0.298304384685104,False
port-gentil-gabon,"Port Gentil, Gabon",8.781610983118252,-0.721040306475029,False
lusk-ireland,"Lusk, Ireland",-6.165888193558025,53.52625445974578,False
tobruk-libya,"Tobruk, Libya",23.960311167883617,32.079604155442446,False
al-bayda-libya,"Al Bayda, Libya",21.74166039584776,32.88172722141822,False
tolmeta-libya,"Tolmeta, Libya",20.949961737944495,32.71673198238239,False
benghazi-libya,"Benghazi, Libya",20.066759238613432,32.11658375707056,False
brega-libya,"Brega, Libya",19.576525210899817,30.378108493012235,False
ras-lanuf-libya,"Ras Lanuf, Libya",18.41187759844718,30.586737502695293,False
sirte-libya,"Sirte, Libya",16.588343734005548,31.205251640496304,False
misuratah-libya,"Misuratah, Libya",15.094790104552972,32.37427884369104,False
al-khums-libya,"Al Khums, Libya",14.26441959904531,32.64966152384897,False
zawia-libya,"Zawia, Libya",12.529752859149395,32.774720416295295,False
zuwara-libya,"Zuwara, Libya",12.083366456623823,32.93337907602355,False
hermosa-beach-ca-united-states,"Hermosa Beach, CA, United States",-118.39954892055475,33.862232632157735,False
sandy-point-vic-australia,"Sandy Point, VIC, Australia",146.11969728527944,-38.82018266620627,False
four-mile-bluff-tas-australia,"Four Mile Bluff, TAS, Australia",146.85016551780996,-41.03327707528322,False
mcgaurans-beach-vic-australia,"McGaurans Beach, VIC, Australia",147.07125911118302,-38.44361560267599,False
stanley-tas-australia,"Stanley, TAS, Australia",145.29411193263084,-40.760375144220674,False
inverloch-vic-australia,"Inverloch, VIC, Australia",145.72946318672496,-38.63345276915476,False
boat-harbour-tas-australia,"Boat Harbour, TAS, Australia",145.62379919907835,-40.95086828582336,False
gav-spain,"Gavá, Spain",2.001342348824283,41.304002941820244,False
fomboni-moheli-comoros,"Fomboni Moheli, Comoros",43.73959403105522,-12.288236282174532,False
mutsamudu-comoros,"Mutsamudu, Comoros",44.400042781936996,-12.16665664973713,False
chindini-comoros,"Chindini, Comoros",43.48910592725337,-11.923498177297583,False
mouly-new-caledonia,"Mouly, New Caledonia",166.48901879296093,-20.70593760646555,False
xepenehe-new-caledonia,"Xepenehe, New Caledonia",167.1513230112785,-20.7809160007802,False
poindimie-new-caledonia,"Poindimie, New Caledonia",165.34155866833254,-20.945878679076127,False
angra-do-heroismo-portugal,"Angra do Heroismo, Portugal",-27.215824453460687,38.65852273411055,False
vila-do-porto-portugal,"Vila do Porto, Portugal",-25.14126537622283,36.95676381760329,False
sao-mateus-portugal,"Sao Mateus, Portugal",-28.46123372745104,38.43229047782683,False
velas-portugal,"Velas, Portugal",-28.2131870281707,38.683845455403926,False
porto-santo-portugal,"Porto Santo, Portugal",-16.347668090064676,33.047316301636776,False
funchal-portugal,"Funchal, Portugal",-16.908946989325337,32.64686582848514,False
toco-trinidad-and-tobago,"Toco, Trinidad and Tobago",-60.94968727482579,10.831137615524929,False
pigeon-point-trinidad-and-tobago,"Pigeon Point, Trinidad and Tobago",-60.84031235230797,11.16540972374498,False
kaliko-haiti,"Kaliko, Haiti",-72.60871221858814,18.86458746066303,False
huahine-french-polynesia,"Huahine, French Polynesia",-151.0000690389311,-16.730055979033075,False
moorea-french-polynesia,"Moorea, French Polynesia",-149.82956205562922,-17.538774974102118,False
uturoa-french-polynesia,"Uturoa, French Polynesia",-151.4430374751281,-16.73090937041819,False
vaitape-french-polynesia,"Vaitape, French Polynesia",-151.7495313986299,-16.506324613958466,False
nasugbu-philippines,"Nasugbu, Philippines",120.62301068928154,14.088187386038742,False
saraemee-indonesia,"Saraemee, Indonesia",118.71180654503641,-8.796931179918277,False
hitiaa-french-polynesia,"Hitia'a, French Polynesia",-149.3081207746325,-17.723318964508866,False
domburg-netherlands,"Domburg, Netherlands",3.496165508627551,51.56395317878603,False
aldeburgh-united-kingdom,"Aldeburgh, United Kingdom",1.590600452297692,52.1578426448517,False
port-hedland-wa-australia,"Port Hedland, WA, Australia",118.57723632786723,-20.31345781610387,False
darwin-nt-australia,"Darwin, NT, Australia",130.8431456073319,-12.467490679762426,False
igiugig-ak-united-states,"Igiugig, AK, United States",-155.8947433058731,59.327800128586105,False
port-alsworth-ak-united-states,"Port Alsworth, AK, United States",-154.3369319094411,60.200371500530665,False
fish-camp-ak-united-states,"Fish Camp, AK, United States",-154.85885536783067,59.94919988638963,False
nondalton-ak-united-states,"Nondalton, AK, United States",-154.84772256321745,59.972649771731774,False
newhalen-ak-united-states,"Newhalen, AK, United States",-154.899773307594,59.7181450195821,False
