OBJECTID,shortName,cableSystem,owner,status,region
1,Americas II-12,Americas II,AT&T Corp,In Service,East Coast
2,AU-Aleutian A,AU Aleutian Submarine Cable System,GCI Communication Corp,In Service,Pacific Northwest
3,AU-Aleutian B,AU Aleutian Submarine Cable System,GCI Communication Corp,In Service,Pacific Northwest
4,AU-Aleutian C,AU Aleutian Submarine Cable System,GCI Communication Corp,In Service,Pacific Northwest
5,AU-Aleutian D,AU Aleutian Submarine Cable System,GCI Communication Corp,In Service,Pacific Northwest
6,AU-Aleutian E,AU Aleutian Submarine Cable System,GCI Communication Corp,In Service,Pacific Northwest
7,AU-Aleutian F,AU Aleutian Submarine Cable System,GCI Communication Corp,In Service,Pacific Northwest
8,AU-Aleutian G,AU Aleutian Submarine Cable System,GCI Communication Corp,In Service,Pacific Northwest
9,AU-Aleutian H,AU Aleutian Submarine Cable System,GCI Communication Corp,In Service,Pacific Northwest
10,AU-Aleutian I,AU Aleutian Submarine Cable System,GCI Communication Corp,In Service,Pacific Northwest
11,AU-Aleutian J,AU Aleutian Submarine Cable System,GCI Communication Corp,In Service,Pacific Northwest
12,Curie 1.1,Curie,GU Holdings Inc,In Service,West Coast
13,Eversource,Eversource HEEC Cable,Eversource Energy,In Service,East Coast
14,Firmina,Firmina,GU Holdings Inc,In Service,East Coast
15,Grace Hopper,Grace Hopper,GU Holdings Inc,In Service,East Coast
16,HIFN,Hawaiian Islands Fiber Network,Hawaiian Telcom Inc,In Service,Pacific Islands
17,Jupiter,Jupiter System,NTT America Inc,In Service,West Coast
18,PLCN 1.1.1,Pacific Light Cable Network,GU Holdings Inc,In Service,West Coast
19,RW 1,Revolution Wind OSS1,Orsted,Under Construction,East Coast
20,RW 3,Revolution Wind OSS1,Orsted,Under Construction,East Coast
21,RW 2,Revolution Wind OSS2,Orsted,Under Construction,East Coast
22,Seabras 1,Seabras 1,Seabras 1 USA LLC,In Service,East Coast
23,SFEC,South Fork Wind Export Cable,Orsted,In Service,East Coast
24,VW1 East,Vineyard Wind 1 HVDC Cable EAST,Avangrid,In Service,East Coast
25,VW1 West,Vineyard Wind 1 HVDC Cable WEST,Avangrid,In Service,East Coast
26,AMX1,America Movil Submarine Cable System,América Móvil,In Service,East Coast
27,PCCS 2A,Pacific Caribbean Cable System,Telxius,In Service,Caribbean
28,Taino-Carib,Taino-Carib Cable System,AT&T Corp,In Service,Caribbean
29,STSC,"Saint Thomas - Saint Croix Cable
System",AT&T Corp,In Service,Caribbean
30,STSC,"Saint Thomas - Saint Croix Cable
System",AT&T Corp,In Service,Caribbean
31,Columbus II,Columbus II Cable System,AT&T Corp,In Service,Caribbean
32,Americas 1 North,Americas 1 North - Columbus II B,AT&T Corp,In Service,Caribbean
